Name: CCTV-1, URL: http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 398 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-1, URL: http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 227 ms, Speed: 0.11 M/s, Resolution: None
Name: CCTV-1, URL: http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 278 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-1, URL: http://59.173.243.210:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 108 ms, Speed: 0.12 M/s, Resolution: None
Name: CCTV-1, URL: http://mom.cloudns.be:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源, Date: None, Delay: 729 ms, Speed: 0.26 M/s, Resolution: None
Name: CCTV-1, URL: http://221.233.192.152:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 71 ms, Speed: 0.32 M/s, Resolution: None
Name: CCTV-1, URL: http://2.2.2.2/hls/501/index.m3u8$陕西酒店源, Date: None, Delay: 3446 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://3.3.3.3/hls/19/index.m3u8$广东酒店源, Date: None, Delay: 3391 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://9.9.9.9/live/cctv1/index.m3u8#http://9.9.9.9/live/cctv1/index.m3u8$黑龙江酒店源, Date: None, Delay: 3387 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://113.57.93.165:9900/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 251 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-1, URL: http://223.13.1.109:9901/tsfile/live/1019_1.m3u8$订阅源, Date: None, Delay: 263 ms, Speed: 1.02 M/s, Resolution: None
Name: CCTV-1, URL: http://202.168.187.208:9089/tsfile/live/1003_1.m3u8$订阅源, Date: None, Delay: 189 ms, Speed: 0.27 M/s, Resolution: None
Name: CCTV-1, URL: http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 188 ms, Speed: 0.08 M/s, Resolution: None
Name: CCTV-1, URL: http://114.243.110.0:4000/rtp/239.3.1.129:8008$组播源, Date: None, Delay: 151 ms, Speed: 0.55 M/s, Resolution: None
Name: CCTV-1, URL: http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源, Date: None, Delay: 229 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://kxrj.site:8081/8647/mg.php?id=cctv1$订阅源, Date: None, Delay: 3483 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://120.0.52.162:8086/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 174 ms, Speed: 0.15 M/s, Resolution: None
Name: CCTV-1, URL: http://101.74.28.105:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 157 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-1, URL: http://119.36.148.115:59901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 122 ms, Speed: 0.11 M/s, Resolution: None
Name: CCTV-1, URL: http://wouu.net:9977/udp/239.93.0.184:5140$订阅源, Date: None, Delay: 710 ms, Speed: 0.39 M/s, Resolution: None
Name: CCTV-1, URL: http://111.160.17.2:59901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 164 ms, Speed: 0.17 M/s, Resolution: None
Name: CCTV-1, URL: http://125.32.120.52:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 240 ms, Speed: 0.18 M/s, Resolution: None
Name: CCTV-1, URL: http://222.134.245.16:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 3080 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-1, URL: http://222.142.70.7:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 625 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-1, URL: http://dms.yryyj.site:8188/udp/239.76.246.151:1234$订阅源, Date: None, Delay: 1679 ms, Speed: 0.00 M/s, Resolution: None
